id,name,industry,website_url,linkedin_url,facebook_url,twitter_url,raw_address,short_description,estimated_num_employees,annual_revenue,domain
5e56471e942f6500012511e2,A&A Towers,commercial real estate,http://www.aandatowers.com,http://www.linkedin.com/company/aandatowers,,,"Victoria Island, Lagos","A&A Towers is a new luxury residential development situated in the Ocean Front District of the Eko Atlantic. It is located at the center of the city, which affords easy accessibility to various parts of Eko Atlantic. The A&A Towers offers modern, airy homes with cafés, restaurants, and leisure facilities.\\A&A Towers designed by the renowned Turkish architect Atilla Ilhan; is an exciting development by Arkland Properties & Investment Co. Ltd. A & A tower will be a structure that is environmentally responsible and resource efficient throughout its life-cycle. From the design, construction, operation, maintenance, and renovation, it will have a positive effect on the environment and its residents.\\A&A Towers will feature 98 units comprising 3 bedroom and 2 bedroom apartments, with interiors that showcase very high-level furnishings. It also includes high-quality office spaces and well designed retail spaces with mezzanine floors. With its impressive facade, stunning architecture, attractive landscape, and incredible views, this is a truly special place to call home.\\A&A Towers Offers\\• State of the art Infrastructure\• Central service systems\• Independent water treatment plant\• State of the art communications\• Electrical Independence\• Dedicated sewage treatment plant",0,,aandatowers.com
556cf894736964124b636400,A&A,computer software,http://www.aanda.co.jp,http://www.linkedin.com/company/a&a,,,,"Software company for architectural designers, industrial designers, landscape designers, entertainment designers and other all designers. Our main product is Vectorworks developed by Nemetschek Vectorworks, Inc. in United States. A&A is an exclusive Japanese distributor of Vectorworks.",250,,aanda.co.jp
56dd6490f3e5bb1ad9004043,a,facilities services,http://www.avanzaservice.cl,http://www.linkedin.com/company/avanza-service,,,"Almaden Expy, San José, California, CL",,0,,avanzaservice.cl
54a1b6ac7468695c8253160a,A&A Optical,apparel & fashion,http://www.aaopticalco.com,http://www.linkedin.com/company/a&a-optical,https://www.facebook.com/AAOptical/,https://www.twitter.com/aaopticalco,"3215 Skylane Drive, Suite 100, Carrollton, TX 75006, US","A&A Optical offers the ultimate selection of premium eyewear. Each eyewear piece is masterfully created with a focus on lifestyle, fit and quality. From unique looks to European inspired designs, A&A delivers innovative products and exceptional customer service to meet the growing demands of the optical dispensary and retailer. Marketed to Optometrists, Ophthalmologists and eye care retailers throughout the United States, Canada, Latin America, and the Caribbean. A&A Optical was founded in 1971.",44,25000000.0,aaopticalco.com
56d8b0a2f3e5bb26db001de9,A,accounting,http://www.awdconsultores.com.br,http://www.linkedin.com/company/awd-consultores,,,"Anacapa Terrace, Sunnyvale, Califórnia 94085, BR",A,2,,awdconsultores.com.br
54a1c178746869586025500e,A&A Distributors,apparel & fashion,http://www.anadistributors.com,http://www.linkedin.com/company/a&a-distributors,,,"Tumble Brush St, Parker, CO 80134, US","A&A Distributors are the wholesale supplier of garments from our various partner Units across the world and import into USA. We work on any incoterms as per customer's requirement and offer ODM & OEM services for our products. \\We Offer the following products\\Suits, Jackets, Overcoats, Pants\Pants (Dress & casual)\Denim Products\Ladies Partywears, Evening dresses\\Partner Units\Suits, Jackets, Overcoats (Total 3 units, 1 in Bulgaria & 2 in china).\\Trousers (Total 5 Units, - 1 in India and 3 in China and 1 in Bulgaria)\\Denim (Total 2 units - 1 in India and 1in china)\\Fabrics (Wool, Wool blends, Poly viscose) (Total 2 units in India).\\Ladies party wears, Evening Dresses, cocktail dresses (Total 1 unit in china).\\We carry over 100's of styles for Men's suits and 1000's of fabrics to choose from with various fabric combinations \\We offer samples for all our products before go for bulk production. \\We do drop shipping of the following products\Suits, Jackets  - Made to Measure (Shipped from our Bulgaria unit)\Ladies partywears, evening dresses (Shipped from our partner china units).",7,,anadistributors.com
59bba58fa6da98f95d16f7ba,A & A,cosmetics,http://www.aahairboutique.com,,,,"1108 Main St, Wakefield, MA 01880",,0,,aahairboutique.com
5c236c5cf65125e356459c89,A&A Staffing,staffing and recruiting,http://www.aastaffing.co.uk,http://www.linkedin.com/company/aastaffing,,,"London, London, Engalnd RM10, GB",A&A Staffing  is an recruitment agency that provided staff to Construction Industry.  ,8,,aastaffing.co.uk
5e563e3b942f65000124dd41,A & A Agency,marketing and advertising,http://www.aa-agency.co,http://www.linkedin.com/company/aanda-agency,,,"Irvine, CA 92618, US","Building a website and narrating your company's story can be complex and exhausting, but it doesn't have to be. A&A aims to provide easy web solutions and meaningful company narrative as a bundled package - all the perks, minus the the heavy budget. \\With a homebase in Irvine, CA and coverage in NY, Jakarta and Singapore, A&A brings a global outlook to web design and curated content with a service range including web design templates,brand identity, company narrative, thought leadership and blog posts. \\We may not have any awards or monuments dedicated to us (yet), but we do take immense pride in our work.",1,,aa-agency.co
5569510473696425b8610300,A&A Executives,staffing and recruiting,http://www.aandaexecutives.com,http://www.linkedin.com/company/a&a-executives,,,,"Executive Search identifies potential candidates for a senior-level position within an organization. Posting vacancies on job boards or running ads are outdated recruiting methods when it comes to recruiting for high-level executives. The project is typically carried out by a consultant or executive recruiting firm specifically authorized to do so by the hiring firm. Professional executive search firms often possess the industry connections and expertise that enable them to reach out to many potential candidates.\We invest on the key areas of a successful search. We identify outstanding candidates; we do not concentrate on someone or candidates who are outstanding in their field and not actively looking for another position. We do not consider disappointed people who are unemployed in the end. In our executive search, we evaluate candidates to promise positive matches; we place candidates with a professional expertise and a personal ability to fit into the culture of an organization. Therefore, our team assesses that ""fit"", and offer candidates who are able to do an excellent job at all levels. Meanwhile, our consultants' team guarantees you to invest your time on top-tier candidates who genuinely wants the position, and the success of your company is the first and serious target for them. Therefore, you can find the right candidates and also maximizes your time.",0,,aandaexecutives.com
59bba23fa6da9831407be42a,A A A Drapery,consumer services,http://www.aaadraperyco.com,,,,"15243 Hardin St, San Leandro, CA 94579",,0,,aaadraperyco.com
